,mean episodic runtime,mean episodic length,mean episodic returns,min episodic returns,max episodic returns,std episodic returns,eval episodes,experiment name,total trainingsteps,total episodes
0,0.041414,200.0,-223.255513,-467.696491,-1.126537,154.33981,11,exp_name: Pendulum-v1_2023-01-30 (TEST),114,253000
0,0.038112,200.0,-149.41388,-382.679429,-1.165891,104.078842,11,exp_name: Pendulum-v1_2023-01-30 (TEST),115,255200
0,0.038033,200.0,-314.986595,-475.021883,-121.280668,112.401141,11,exp_name: Pendulum-v1_2023-01-30 (TEST),116,257400
0,0.039262,200.0,-205.779304,-515.834625,-2.259383,144.950472,11,exp_name: Pendulum-v1_2023-01-30 (TEST),117,259600
0,0.038394,200.0,-208.957725,-495.884719,-1.009901,134.866228,11,exp_name: Pendulum-v1_2023-01-30 (TEST),118,261800
0,0.039594,200.0,-206.241429,-385.916322,-121.279131,110.426567,11,exp_name: Pendulum-v1_2023-01-30 (TEST),119,264000
0,0.037254,200.0,-134.770022,-359.821237,-0.87264,107.810557,11,exp_name: Pendulum-v1_2023-01-30 (TEST),120,266200
0,0.040003,200.0,-148.701107,-365.821269,-5.840035,99.909147,11,exp_name: Pendulum-v1_2023-01-30 (TEST),121,268400
0,0.03907,200.0,-219.647673,-422.859712,-0.908087,113.932666,11,exp_name: Pendulum-v1_2023-01-30 (TEST),122,270600
0,0.038052,200.0,-214.311971,-516.961137,-1.219569,152.338449,11,exp_name: Pendulum-v1_2023-01-30 (TEST),123,272800
0,0.036851,200.0,-160.222694,-414.590778,-115.674184,87.349444,11,exp_name: Pendulum-v1_2023-01-30 (TEST),124,275000
0,0.036805,200.0,-181.072747,-383.896663,-1.11921,111.249965,11,exp_name: Pendulum-v1_2023-01-30 (TEST),125,277200
0,0.039552,200.0,-270.315935,-560.838417,-116.169308,160.970691,11,exp_name: Pendulum-v1_2023-01-30 (TEST),126,279400
0,0.037737,200.0,-148.085961,-379.988368,-1.42129,90.735801,11,exp_name: Pendulum-v1_2023-01-30 (TEST),127,281600
0,0.036687,200.0,-133.27039,-258.004986,-1.268994,80.732158,11,exp_name: Pendulum-v1_2023-01-30 (TEST),128,283800
0,0.03806,200.0,-144.009815,-358.208415,-0.598923,122.404883,11,exp_name: Pendulum-v1_2023-01-30 (TEST),129,286000
0,0.038304,200.0,-154.431162,-365.17973,-0.81001,116.44887,11,exp_name: Pendulum-v1_2023-01-30 (TEST),130,288200
0,0.039037,200.0,-191.192609,-441.499128,-0.884814,150.659968,11,exp_name: Pendulum-v1_2023-01-30 (TEST),131,290400
0,0.036777,200.0,-154.271391,-476.189747,-1.124796,169.033151,11,exp_name: Pendulum-v1_2023-01-30 (TEST),132,292600
0,0.037233,200.0,-198.264092,-384.838645,-1.283335,119.680881,11,exp_name: Pendulum-v1_2023-01-30 (TEST),133,294800
