,experiment,timestep,mean episodic runtime,mean episodic length,eval episodes,mean episodic returns,min episodic returns,max episodic returns,std episodic returns
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",305800,0.034604,200.0,11,-1110.270086,-1262.057517,-1001.492527,77.577043
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",308000,0.033791,200.0,11,-1098.216755,-1225.219326,-1013.331552,71.598769
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",310200,0.035695,200.0,11,-1048.879383,-1139.566188,-924.306962,60.930521
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",312400,0.036322,200.0,11,-1056.915343,-1164.519441,-891.985688,76.428764
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",314600,0.036563,200.0,11,-1004.642143,-1096.089464,-911.494823,59.221543
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",316800,0.034389,200.0,11,-998.834988,-1135.954456,-851.097278,83.051868
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",319000,0.034796,200.0,11,-984.902032,-1122.99744,-790.495726,110.939642
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",321200,0.034285,200.0,11,-943.362209,-1286.587826,-768.003749,152.92524
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",323400,0.035654,200.0,11,-960.147686,-1133.709841,-774.448705,117.255088
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",325600,0.037332,200.0,11,-1028.48856,-1295.076043,-867.181136,138.276813
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",327800,0.036026,200.0,11,-943.189966,-1146.747265,-634.446593,120.250332
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",330000,0.034952,200.0,11,-944.654767,-1259.988444,-755.153507,121.832727
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",332200,0.037194,200.0,11,-907.393434,-1155.316594,-639.738273,136.833353
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",334400,0.03491,200.0,11,-854.938948,-1127.95004,-637.993531,120.831332
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",336600,0.035151,200.0,11,-892.68734,-1159.31528,-621.313528,125.525124
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",338800,0.036572,200.0,11,-982.00088,-1278.474046,-754.314096,158.6431
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",341000,0.034191,200.0,11,-918.463253,-1134.569891,-684.759886,136.290219
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",343200,0.035423,200.0,11,-882.604745,-1030.463766,-753.934648,101.173985
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",345400,0.03441,200.0,11,-913.550362,-1099.054964,-764.610621,88.693709
